datetime,date,hour,day_of_week,month,is_weekend,is_holiday,is_festival,is_pre_holiday,is_post_holiday,is_pre_festival,is_post_festival,workday_after_holiday,temperature,humidity,wind_speed,solar_irradiance,load,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
08-01-2023 00:00,08-01-2023,0,6,1,1,0,0,0,0,0,0,0,20.50375689,71.5014216,1.320194495,0,1832.705618,1902.396269,1763.950353,1949.841476,1725.172854,106.4373439
08-01-2023 01:00,08-01-2023,1,6,1,1,0,0,0,0,0,0,0,24.68087043,71.88603259,3.394520659,117.473573,1884.138326,1832.705618,1779.267436,1775.251494,1728.037657,108.4330125
08-01-2023 02:00,08-01-2023,2,6,1,1,0,0,0,0,0,0,0,25.33403431,63.47745894,3.314344622,232.9371406,1853.772274,1884.138326,1828.592764,1829.827019,1732.407277,112.6194441
08-01-2023 03:00,08-01-2023,3,6,1,1,0,0,0,0,0,0,0,26.15364691,68.46840517,4.575224892,344.4150891,1722.113407,1853.772274,1807.740467,1738.466479,1733.456424,113.6668662
08-01-2023 04:00,08-01-2023,4,6,1,1,0,0,0,0,0,0,0,28.08897735,57.90958304,4.533204696,450,1802.727072,1722.113407,1654.845533,1831.647879,1729.888629,112.57242
08-01-2023 05:00,08-01-2023,5,6,1,1,0,0,0,0,0,0,0,26.50026215,62.80943031,2.116320266,547.8852861,1700.74837,1802.727072,1641.579215,1759.939543,1736.05036,112.3332407
08-01-2023 06:00,08-01-2023,6,6,1,1,0,0,0,0,0,0,0,28.39222849,66.48592155,2.669265556,636.3961031,1607.329984,1700.74837,1736.475392,1713.971814,1738.515742,110.8086813
08-01-2023 07:00,08-01-2023,7,6,1,1,0,0,0,0,0,0,0,28.75739758,62.47687698,1.084869691,714.0180063,1616.323021,1607.329984,1584.364214,1650.839667,1733.134683,114.0018249
08-01-2023 08:00,08-01-2023,8,6,1,1,0,0,0,0,0,0,0,24.32585777,50.85115165,4.326267062,779.4228634,1606.516451,1616.323021,1626.526413,1713.672241,1734.4663,112.3634098
08-01-2023 09:00,08-01-2023,9,6,1,1,0,0,0,0,0,0,0,25.61006554,57.608887,1.232359826,831.4915793,1606.513466,1606.516451,1478.642319,1647.88338,1733.632552,113.2697408
08-01-2023 10:00,08-01-2023,10,6,1,1,0,0,0,0,0,0,0,25.37315223,38.86958094,3.180429877,869.3332437,1652.926282,1606.513466,1678.194997,1595.771604,1738.960516,103.3248858
08-01-2023 11:00,08-01-2023,11,6,1,1,0,0,0,0,0,0,0,25.27151219,50.74374404,2.122534981,892.3003752,1670.250789,1652.926282,1643.020273,1601.155937,1737.907653,104.0968556
08-01-2023 12:00,08-01-2023,12,6,1,1,0,0,0,0,0,0,0,22.56148333,47.89297247,1.806728508,900,1721.999282,1670.250789,1605.635018,1580.930086,1739.042258,103.1618639
08-01-2023 13:00,08-01-2023,13,6,1,1,0,0,0,0,0,0,0,20.11018987,49.76456098,1.213356947,892.3003752,1749.138242,1721.999282,1592.196605,1631.640519,1743.890769,99.28073754
08-01-2023 14:00,08-01-2023,14,6,1,1,0,0,0,0,0,0,0,19.57825127,58.62079501,3.927051559,869.3332437,1550.061769,1749.138242,1809.03106,1657.960166,1750.430004,93.87628998
08-01-2023 15:00,08-01-2023,15,6,1,1,0,0,0,0,0,0,0,14.19080065,48.66661179,3.749800036,831.4915793,1776.995788,1550.061769,1689.403256,1686.977011,1739.639616,101.4272917
08-01-2023 16:00,08-01-2023,16,6,1,1,0,0,0,0,0,0,0,19.52414473,56.86378736,2.814420852,779.4228634,1668.05068,1776.995788,1807.414102,1693.655827,1743.289305,101.1164853
08-01-2023 17:00,08-01-2023,17,6,1,1,0,0,0,0,0,0,0,20.00006014,60.07443779,2.757119509,714.0180063,1663.124036,1668.05068,1761.606308,1700.153308,1737.482496,101.2753687
08-01-2023 18:00,08-01-2023,18,6,1,1,0,0,0,0,0,0,0,15.28339062,64.32872504,2.333059173,636.3961031,1821.63519,1663.124036,1709.59124,1736.507105,1733.379068,102.245913
08-01-2023 19:00,08-01-2023,19,6,1,1,0,0,0,0,0,0,0,17.81468475,61.55344481,2.125140937,547.8852861,1802.019826,1821.63519,1760.006792,1764.430013,1738.047566,103.6606965
08-01-2023 20:00,08-01-2023,20,6,1,1,0,0,0,0,0,0,0,16.05266448,70.45459495,1.374781133,450,1941.262938,1802.019826,1866.413679,1822.271701,1739.798109,104.3997577
08-01-2023 21:00,08-01-2023,21,6,1,1,0,0,0,0,0,0,0,15.56063572,68.26580594,4.738090497,344.4150891,1795.738927,1941.262938,1825.646353,1852.334305,1742.916828,109.3473241
08-01-2023 22:00,08-01-2023,22,6,1,1,0,0,0,0,0,0,0,19.35184251,60.85403247,1.873786148,232.9371406,1906.19212,1795.738927,1851.608443,1840.060259,1741.670685,108.5308989
08-01-2023 23:00,08-01-2023,23,6,1,1,0,0,0,0,0,0,0,20.41721601,69.19213638,3.05538235,117.473573,1845.003751,1906.19212,1902.396269,1814.776525,1743.945005,111.4670627
09-01-2023 00:00,09-01-2023,0,0,1,0,0,0,0,0,0,0,0,22.27012116,66.36665166,2.724282884,0,2155.390979,1845.003751,1832.705618,2184.703574,1741.55365,108.4959748
09-01-2023 01:00,09-01-2023,1,0,1,0,0,0,0,0,0,0,0,22.03789799,62.70087196,4.110238611,117.473573,1973.396274,2155.390979,1884.138326,2140.438007,1754.998874,136.629575
09-01-2023 02:00,09-01-2023,2,0,1,0,0,0,0,0,0,0,0,25.95867109,65.76993589,4.712563482,232.9371406,2050.350037,1973.396274,1853.772274,2051.973124,1758.717955,141.4281514
09-01-2023 03:00,09-01-2023,3,0,1,0,0,0,0,0,0,0,0,26.59745245,60.72254734,2.676104647,344.4150891,1902.265125,2050.350037,1722.113407,2187.864981,1766.908695,152.4364496
09-01-2023 04:00,09-01-2023,4,0,1,0,0,0,0,0,0,0,0,25.1298542,58.48264331,3.552058878,450,1878.669615,1902.265125,1802.727072,1897.093972,1774.415017,154.5555346
09-01-2023 05:00,09-01-2023,5,0,1,0,0,0,0,0,0,0,0,25.33435093,67.16297267,3.291413455,547.8852861,1910.698243,1878.669615,1700.74837,1821.193839,1777.579289,155.9316532
09-01-2023 06:00,09-01-2023,6,0,1,0,0,0,0,0,0,0,0,28.88499218,63.44950005,2.717946389,636.3961031,1938.050678,1910.698243,1607.329984,1928.46767,1786.327201,157.3170012
09-01-2023 07:00,09-01-2023,7,0,1,0,0,0,0,0,0,0,0,26.40957637,57.93000487,3.430388455,714.0180063,1854.333027,1938.050678,1616.323021,1887.201429,1800.10723,155.42947
09-01-2023 08:00,09-01-2023,8,0,1,0,0,0,0,0,0,0,0,28.28996837,56.58785314,3.217076515,779.4228634,1842.218297,1854.333027,1606.516451,1865.652859,1810.024313,150.7149339
09-01-2023 09:00,09-01-2023,9,0,1,0,0,0,0,0,0,0,0,27.0101508,52.27615679,4.196163315,831.4915793,1809.39701,1842.218297,1606.513466,1965.303475,1819.845223,144.4255481
09-01-2023 10:00,09-01-2023,10,0,1,0,0,0,0,0,0,0,0,25.7311957,47.40796659,2.417966984,869.3332437,1947.019846,1809.39701,1652.926282,1995.891124,1828.298704,137.1502904
09-01-2023 11:00,09-01-2023,11,0,1,0,0,0,0,0,0,0,0,22.65551378,54.66218786,2.775355448,892.3003752,1871.330973,1947.019846,1670.250789,1846.764015,1840.552603,133.8997159
09-01-2023 12:00,09-01-2023,12,0,1,0,0,0,0,0,0,0,0,20.82423482,44.76656376,1.323472231,900,1806.124854,1871.330973,1721.999282,1786.722994,1848.930944,128.9809494
09-01-2023 13:00,09-01-2023,13,0,1,0,0,0,0,0,0,0,0,20.7271505,58.63345423,2.101786543,892.3003752,1885.658573,1806.124854,1749.138242,1864.038648,1852.436176,126.5006954
09-01-2023 14:00,09-01-2023,14,0,1,0,0,0,0,0,0,0,0,19.16249879,43.16307941,1.313512945,869.3332437,1839.003874,1885.658573,1550.061769,1917.599548,1858.124523,124.710532
09-01-2023 15:00,09-01-2023,15,0,1,0,0,0,0,0,0,0,0,17.89368018,53.52331452,4.102298887,831.4915793,2060.611512,1839.003874,1776.995788,1865.82949,1870.163778,106.2598901
09-01-2023 16:00,09-01-2023,16,0,1,0,0,0,0,0,0,0,0,16.82770677,56.10549032,4.487614609,779.4228634,2060.556147,2060.611512,1668.05068,2049.473462,1881.981099,111.1081072
09-01-2023 17:00,09-01-2023,17,0,1,0,0,0,0,0,0,0,0,19.22696697,53.26881975,1.684219933,714.0180063,1990.945954,2060.556147,1663.124036,1971.881533,1898.335494,107.0633494
09-01-2023 18:00,09-01-2023,18,0,1,0,0,0,0,0,0,0,0,17.42338274,60.09234287,4.464896748,636.3961031,1985.755704,1990.945954,1821.63519,2135.023035,1911.99474,96.10079977
09-01-2023 19:00,09-01-2023,19,0,1,0,0,0,0,0,0,0,0,19.35307758,66.97066035,2.040914847,547.8852861,2026.142664,1985.755704,1802.019826,2019.185811,1918.833095,95.22670493
09-01-2023 20:00,09-01-2023,20,0,1,0,0,0,0,0,0,0,0,17.11311839,68.05656603,2.048442953,450,1879.781592,2026.142664,1941.262938,1962.2236,1928.171547,94.25772395
09-01-2023 21:00,09-01-2023,21,0,1,0,0,0,0,0,0,0,0,16.61250562,70.12898868,2.592872806,344.4150891,2143.323877,1879.781592,1795.738927,1954.171775,1925.609824,94.72078673
09-01-2023 22:00,09-01-2023,22,0,1,0,0,0,0,0,0,0,0,17.49852178,61.66253339,1.865723706,232.9371406,2072.688293,2143.323877,1906.19212,1829.878066,1940.09253,100.4025852
09-01-2023 23:00,09-01-2023,23,0,1,0,0,0,0,0,0,0,0,18.2465889,69.5388192,3.249363869,117.473573,2034.430258,2072.688293,1845.003751,2273.298932,1947.029871,103.6576676
10-01-2023 00:00,10-01-2023,0,1,1,0,0,0,0,0,0,0,0,21.77761257,78.24808985,1.682787189,0,2126.033295,2034.430258,2155.390979,2186.614618,1954.922642,102.75919
10-01-2023 01:00,10-01-2023,1,1,1,0,0,0,0,0,0,0,0,23.24689094,71.72908309,4.896440095,117.473573,2123.897581,2126.033295,1973.396274,2207.140214,1953.699405,100.4171226
10-01-2023 02:00,10-01-2023,2,1,1,0,0,0,0,0,0,0,0,23.12721931,69.88863047,2.382199394,232.9371406,1963.803689,2123.897581,2050.350037,2012.522783,1959.970293,106.2315848
10-01-2023 03:00,10-01-2023,3,1,1,0,0,0,0,0,0,0,0,26.56969151,63.18334537,4.022377123,344.4150891,2119.697563,1963.803689,1902.265125,1942.587948,1956.364195,104.4847697
10-01-2023 04:00,10-01-2023,4,1,1,0,0,0,0,0,0,0,0,27.63088183,58.65126775,2.428275782,450,1995.083072,2119.697563,1878.669615,1999.890664,1965.42388,108.9223404
10-01-2023 05:00,10-01-2023,5,1,1,0,0,0,0,0,0,0,0,27.86606801,70.05686199,3.328924392,547.8852861,1986.074275,1995.083072,1910.698243,2036.261523,1970.274441,107.4734443
10-01-2023 06:00,10-01-2023,6,1,1,0,0,0,0,0,0,0,0,26.28809023,65.06903904,3.341390263,636.3961031,2005.571557,1986.074275,1938.050678,1911.089949,1973.415109,106.7557205
10-01-2023 07:00,10-01-2023,7,1,1,0,0,0,0,0,0,0,0,26.39718067,51.86320283,4.535195611,714.0180063,1860.495179,2005.571557,1854.333027,1929.32952,1976.228479,106.6728973
10-01-2023 08:00,10-01-2023,8,1,1,0,0,0,0,0,0,0,0,27.79769153,53.84394185,1.325764681,779.4228634,1804.578738,1860.495179,1842.218297,1783.310582,1976.485235,106.3737412
10-01-2023 09:00,10-01-2023,9,1,1,0,0,0,0,0,0,0,0,27.49257101,55.51156832,3.057811972,831.4915793,1877.067833,1804.578738,1809.39701,2058.655717,1974.91692,108.6915815
10-01-2023 10:00,10-01-2023,10,1,1,0,0,0,0,0,0,0,0,22.40962745,52.16268732,3.492688645,869.3332437,1832.041063,1877.067833,1947.019846,1765.805541,1977.736538,105.0270306
10-01-2023 11:00,10-01-2023,11,1,1,0,0,0,0,0,0,0,0,22.35919549,47.52168586,1.429002731,892.3003752,1785.323058,1832.041063,1871.330973,1872.737622,1972.945755,109.0349749
10-01-2023 12:00,10-01-2023,12,1,1,0,0,0,0,0,0,0,0,22.68187897,44.75820233,1.276589275,900,1882.139014,1785.323058,1806.124854,1805.417884,1969.362092,113.8280323
10-01-2023 13:00,10-01-2023,13,1,1,0,0,0,0,0,0,0,0,18.55366137,51.42214875,4.297151655,892.3003752,1823.882179,1882.139014,1885.658573,1953.073744,1972.529349,110.0844724
10-01-2023 14:00,10-01-2023,14,1,1,0,0,0,0,0,0,0,0,15.76767706,51.88378105,1.74058488,869.3332437,1947.755603,1823.882179,1839.003874,1820.61971,1969.955332,112.8904876
10-01-2023 15:00,10-01-2023,15,1,1,0,0,0,0,0,0,0,0,21.78222381,54.5022066,2.133786862,831.4915793,1871.289527,1947.755603,2060.611512,1935.000411,1974.486654,109.5385151
10-01-2023 16:00,10-01-2023,16,1,1,0,0,0,0,0,0,0,0,17.0294293,50.07316114,4.690613886,779.4228634,1927.053047,1871.289527,2060.556147,1879.689711,1966.598238,109.8830387
10-01-2023 17:00,10-01-2023,17,1,1,0,0,0,0,0,0,0,0,15.39120327,60.89175551,2.8575754,714.0180063,1956.371946,1927.053047,1990.945954,1913.306343,1961.035609,108.2873785
10-01-2023 18:00,10-01-2023,18,1,1,0,0,0,0,0,0,0,0,16.61107841,64.94974327,3.944424912,636.3961031,2019.346718,1956.371946,1985.755704,2000.919134,1959.595025,108.1019868
10-01-2023 19:00,10-01-2023,19,1,1,0,0,0,0,0,0,0,0,18.13906049,66.50786412,2.81106919,547.8852861,2072.648118,2019.346718,2026.142664,2143.189185,1960.994651,108.6713791
10-01-2023 20:00,10-01-2023,20,1,1,0,0,0,0,0,0,0,0,18.58181376,62.96667201,1.469881235,450,2101.142123,2072.648118,1879.781592,2051.246944,1962.932378,110.2861687
10-01-2023 21:00,10-01-2023,21,1,1,0,0,0,0,0,0,0,0,18.39431507,65.2987449,3.717808679,344.4150891,2129.48124,2101.142123,2143.323877,2163.024305,1972.155734,112.2683297
10-01-2023 22:00,10-01-2023,22,1,1,0,0,0,0,0,0,0,0,19.74853612,79.31873545,1.970983016,232.9371406,1979.540291,2129.48124,2072.688293,2262.087638,1971.578957,111.3827885
10-01-2023 23:00,10-01-2023,23,1,1,0,0,0,0,0,0,0,0,21.74132728,61.83464127,1.702456848,117.473573,2165.26095,1979.540291,2034.430258,1988.006662,1967.69779,109.3100198
11-01-2023 00:00,11-01-2023,0,2,1,0,0,0,0,0,0,0,0,19.74300665,62.15073139,1.70729609,0,2128.428165,2165.26095,2126.033295,2027.278978,1973.149069,115.8493091
11-01-2023 01:00,11-01-2023,1,2,1,0,0,0,0,0,0,0,0,21.46984824,68.1326736,1.211201148,117.473573,2223.593449,2128.428165,2123.897581,2123.57813,1973.248856,115.9876695
11-01-2023 02:00,11-01-2023,2,2,1,0,0,0,0,0,0,0,0,24.94177317,74.98387337,1.851753836,232.9371406,1951.42672,2223.593449,1963.803689,2189.127982,1977.40285,123.17987
11-01-2023 03:00,11-01-2023,3,2,1,0,0,0,0,0,0,0,0,27.73368605,54.556817,2.625312117,344.4150891,2111.907955,1951.42672,2119.697563,1883.567985,1976.887143,123.2651592
11-01-2023 04:00,11-01-2023,4,2,1,0,0,0,0,0,0,0,0,26.69639613,65.33765541,4.141694581,450,1985.292158,2111.907955,1995.083072,1991.263788,1976.562576,122.88244
11-01-2023 05:00,11-01-2023,5,2,1,0,0,0,0,0,0,0,0,25.9960022,62.14894615,4.483285242,547.8852861,1865.50274,1985.292158,1986.074275,2010.296603,1976.154621,122.8345239
